p_fs,p_w1sp,p_w2sp,p_wrp,p_tpw,p_tmw,p_aces_per_game,p_df_per_game,p_bp_won,p_wsp,p_completeness,p_serve_adv,p_number_of_matches_used,o_fs,o_w1sp,o_w2sp,o_wrp,o_tpw,o_tmw,o_aces_per_game,o_df_per_game,o_bp_won,o_wsp,o_completeness,o_serve_adv,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,player_elo_rating,opponent_elo_rating,p_matches
0.6366590835229119,0.713323124042879,0.510912343470483,0.6757111884895868,0.6636480677329958,0.4635416666666667,0.5413377648525135,0.3016202742002493,0.6151355726426548,0.6397790055248619,0.43230583219389035,-0.038536068143441904,192,0.5921150971599403,0.7283054591353739,0.5199267063673844,0.6783150736683038,0.6665621079046424,0.4603174603174603,0.46258907363420426,0.21912114014251782,0.6231038506417736,0.6433109118086696,0.4363674885351214,-0.03240027668091716,-1.0,126,6196,6364,Marrakech,09/04/2018,1859,1989,0
0.584443803906787,0.7071588451762206,0.5043752000853697,0.6890686488850022,0.6672157913619025,0.496415770609319,0.39749430523917995,0.20928246013667426,0.5935988090807592,0.6228908449923505,0.4292145529617163,-0.06130033147823777,558,0.6551724137931034,0.6394873193346059,0.4813471502590674,0.6841911764705882,0.6504824907446743,0.5396825396825397,0.1761904761904762,0.2357142857142857,0.591337099811676,0.5849562265499375,0.4002218888269977,-0.10411242233506468,1.0,63,4311,5420,Marrakech,09/04/2018,1948,1768,0
0.5578209620898376,0.7064534551684751,0.510806916426513,0.6947268106734434,0.6698463169051404,0.6111111111111112,0.4020618556701031,0.26804123711340205,0.5986277873070326,0.619942656897101,0.4306907848265438,-0.05417489556731969,36,0.5369488400675987,0.7170243204577968,0.49104180491041804,0.6741175524644207,0.6529082655969598,0.5,0.3623409669211196,0.2580152671755725,0.6360017691287041,0.6123828545091412,0.41281803105287773,-0.08234395616430223,,156,5902,4291,Marrakech,09/04/2018,1876,1844,0
0.5855195736831318,0.6881071147282751,0.4917789590802324,0.6812570723176627,0.6563527397260274,0.4642857142857143,0.3330013280212483,0.2204515272244356,0.5903404131510038,0.6067329370772699,0.4133411043919576,-0.07400289037071628,252,0.6505747126436782,0.6881625441696113,0.48752741228070173,0.6807358274479862,0.6598929799974519,0.5018450184501845,0.41185599006828055,0.1787709497206704,0.6061850027367269,0.6180555555555556,0.4207325600199359,-0.06320151676210717,1.0,271,3893,4994,Marrakech,09/04/2018,1801,1868,0
0.6543417366946779,0.6365582191780822,0.46434359805510533,0.6822351959966639,0.6473429951690821,0.5555555555555556,0.14814814814814814,0.27037037037037037,0.591304347826087,0.5770308123249299,0.39367072934261277,-0.11560371915231915,45,0.6190638442863836,0.733608531131751,0.5395796064400715,0.6926345314772491,0.6818346855842142,0.4758842443729904,0.4564014752370917,0.1821654373024236,0.6011524489540273,0.6596958984624558,0.45692815954900595,-0.022539297534208136,-1.0,622,5333,4752,Marrakech,09/04/2018,1685,2040,0
0.594059405940594,0.6541666666666667,0.4268292682926829,0.6711491442542787,0.6350245499181669,0.3333333333333333,0.5555555555555556,0.49206349206349204,0.5428571428571428,0.5618811881188119,0.377106078578518,-0.1284960419623703,6,0.5788830502260784,0.6970234325522483,0.4889727219965177,0.6903772300811822,0.6634875283078596,0.49221789883268485,0.3041261749243269,0.3358292177791939,0.593244841634906,0.609409751924722,0.42072261651825,-0.06173939232955672,,514,23755,4198,Marrakech,09/04/2018,1657,1844,0
0.6409869083585096,0.7046347211311862,0.541374474053296,0.6539035305818001,0.6512982689747004,0.4,0.5345911949685535,0.14465408805031446,0.6060606060606061,0.6460221550855992,0.42243616804453654,-0.04545983937423459,25,0.6086360520904729,0.6801801801801802,0.5017513134851138,0.6914819944598338,0.6642512077294686,0.4358974358974359,0.2918552036199095,0.2895927601809955,0.5739644970414202,0.6103495544893762,0.4220457272559849,-0.04355397609242384,,39,9719,6134,Marrakech,09/04/2018,1798,1795,0
0.5166365472520463,0.7388203017832647,0.46367568360090905,0.6905861969390702,0.6619832833108132,0.49557522123893805,0.6606932327281302,0.35015326573921246,0.59589172585909,0.6058254491336239,0.41837469292609347,-0.0934997077294929,339,0.5695516319692806,0.6958820807720272,0.5182788175616582,0.6993251568631168,0.6725692168036714,0.48091603053435117,0.35040530582166546,0.18472119872267256,0.5897771952817824,0.6194330459661935,0.43318511203650656,-0.07115315097287667,-0.14285714285714285,655,5324,4467,Marrakech,09/04/2018,1918,1918,0
0.5959795033504138,0.7129629629629629,0.5307317073170732,0.6737868104520945,0.6619105856774018,0.45161290322580644,0.47368421052631576,0.15263157894736842,0.6682027649769585,0.6393378005518329,0.43077737743527683,-0.04089015575654131,31,0.5983926952062291,0.7174435618729097,0.495133535778245,0.6802279563083742,0.6627289829635624,0.5102040816326531,0.5151331719128329,0.21468926553672316,0.6045684328777382,0.6281622314643985,0.4272935109391357,-0.04562457898769601,0.0,392,5792,4894,Marrakech,09/04/2018,1886,1892,1
0.6250856751199452,0.7258771929824561,0.5383912248628885,0.6665481692143619,0.6628043071161048,0.6363636363636364,0.6385809312638581,0.22394678492239467,0.6611374407582938,0.6555860178204249,0.43697965994073823,-0.03505644028013377,33,0.5166772218703821,0.7387129724208376,0.4637839411807527,0.6906424581005587,0.6620386851785927,0.49560117302052786,0.6591015442208704,0.34955545156761814,0.5949294700724361,0.6058335092533953,0.41841434403045247,-0.06071465996096659,,341,11769,5324,Barcelona,23/04/2018,1859,1899,0
